title.y,merg_title,new_merg_title,uniq_id,zot_id
"A Comparative Study of Mexican-American and Anglo-American School Administrators' Perceptions of Responsibility, Authority and Delegation.",acomparativestudyofmexicanamericanandangloamericanschooladministratorsperceptionsofresponsibilityaut,acomparativestudyofmexicanamericanandangloamericanschooladministratorsperceptionsofresponsibility,NA,NA
A heterogeneity analysis of the Bolsa Família Programme effect on men and women's work supply,aheterogeneityanalysisofthebolsafamliaprogrammeeffectonmenandwomensworksupply,aheterogeneityanalysisofthebolsafamiliaprogrammeeffectonmenandwomensworksupply,NA,NA
A hierarchical method for soil erosion assessment and spatial risk modelling: a case study of Kiambu district in Kenya.,ahierarchicalmethodforsoilerosionassessmentandspatialriskmodellingacasestudyofkiambudistrictinkenya,ahierachicalmethodforsoilerosionassessmentandspatialriskmodellingacasestudyofkiambudistrictinkenya,NA,NA
A Moral Economy of Scholarship: The Balance Between Loyalty and Independence,amoraleconomyofscholarshipthebalancebetweenloyaltyandindependence,,NA,NA
Angels in Medieval Philosophical Inquiry: Their Function and Significance,angelsinmedievalphilosophicalinquirytheirfunctionandsignificance,,NA,NA
"Anonymity, Hierarchy and Stability : Some Retrospective Observations on Industrial Networks in the Soviet Planned Economy",anonymityhierarchyandstabilitysomeretrospectiveobservationsonindustrialnetworksinthesovietplannedeco,,NA,NA
Another Day's Journey: Black Churches Confronting the American Crisis,anotherdaysjourneyblackchurchesconfrontingtheamericancrisis,,NA,NA
"Apophasis and Pseudonymity in Dionysius the Areopagite: ""No Longer I""",apophasisandpseudonymityindionysiustheareopagitenolongeri,apophasisandpseudonymityindionysiustheareopagite,NA,NA
"A Tale of Two Storms: U.S. Army Disaster Relief in Puerto Rico and Texas, 1899–1900",ataleoftwostormsusarmydisasterreliefinpuertoricoandtexas,ataleoftwostorms,NA,NA
Black Families: A Systems Approach,blackfamiliesasystemsapproach,blackfamilies,NA,NA
"Closed Fists, Open Hands: Literary Modernism and the Rhetorics of the Protofascism and Radical Humanism",closedfistsopenhandsliterarymodernismandtherhetoricsoftheprotofascismandradicalhumanism,,NA,NA
Collaborative challenges in integrated care: Untangling the preconditions for collaboration and frail older people's participation,collaborativechallengesinintegratedcareuntanglingthepreconditionsforcollaborationandfrailolderpeople,collaborativechallengesinintegratedcare,NA,NA
Comparing Methodologies: Linked Open Data and Digital Libraries,comparingmethodologieslinkedopendataanddigitallibraries,,NA,NA
"Contemporary Two-Kingdoms and Governances Thinking for Today's World: A Critical Assessment of Types of Interpretation of the Two-Kingdoms and Governances Model, Especially Within American Lutheranism (law-Gospel, Resistance, Luther)",contemporarytwokingdomsandgovernancesthinkingfortodaysworldacriticalassessmentoftypesofinterpretatio,contemporarytwokingdomsandgovernancesthinkingfortodaysworldacriticalassessmentoftypesof,NA,NA
Contesting the moralities of leadership,contestingthemoralitiesofleadership,itisallamatterofstyle,NA,NA
"Contextualising dialogue, secularisation and pluralism: Religion in Finnish public education",contextualisingdialoguesecularisationandpluralismreligioninfinnishpubliceducation,contextualisingdialoguesecularisationandpluralism,NA,NA
Cultural Challenges for Chinese Expats in Denmark,culturalchallengesforchineseexpatsindenmark,mathesisinternationalbusinesscommunicationmco,NA,NA
Development and implementation of a group based mental health intervention for unaccompanied minors,developmentandimplementationofagroupbasedmentalhealthinterventionforunaccompaniedminors,,NA,NA
DSpace Angular Universal,dspaceangularuniversal,,NA,NA
DSpace Angular Universal,dspaceangularuniversal,,NA,NA
Educating toward direct democracy and ecological sustainability,educatingtowarddirectdemocracyandecologicalsustainability,educatingtowarddirectdemocracyandecologicalsustainabilitytheoryofsocialecologyasaframeworkforcritica,NA,NA
Embracing uncertainty: A study of organizational search and structure,embracinguncertaintyastudyoforganizationalsearchandstructure,,NA,NA
"Environmentalism and the ""Ecological Indian"" in <i>Avatar</i>: A Visual Analysis",environmentalismandtheecologicalindianiniavatariavisualanalysis,environmentalismandtheecologicalindianinavataravisualanalysis,NA,NA
Feminism and Inclusive Leadership: Bridging tradition and modernity from an Indic perspective,feminismandinclusiveleadershipbridgingtraditionandmodernityfromanindicperspective,feminismandinclusiveleadership,NA,NA
Good governance as a discursive stategy in Dutch development co-operation policy discourse,goodgovernanceasadiscursivestategyindutchdevelopmentcooperationpolicydiscourse,goodgovernanceasadiscursivestrategyindutchdevelopmentcooperationpolicydiscourse,NA,NA
Guanxi and international joint venture formation in China: A small and medium-sized enterprise perspective,guanxiandinternationaljointventureformationinchinaasmallandmediumsizedenterpriseperspective,guanxiandinternationaljointventureformationinchinaasmallandmediumsized,NA,NA
High School Students' Competing Social Worlds: Negotiating Identities and Allegiances in Response to Multicultural Literature,highschoolstudentscompetingsocialworldsnegotiatingidentitiesandallegiancesinresponsetomulticulturall,highschoolstudentscompetingsocialworlds,NA,NA
HIV/AIDS Education in Butare-ville Secondary Schools (Rwanda): Analyzing Pedagogic Discourse Using a Bernsteinian Framework,hivaidseducationinbutarevillesecondaryschoolsrwandaanalyzingpedagogicdiscourseusingabernsteinianfram,,NA,NA
Informal hierarchy: an investigation into the antecedents and consequences,informalhierarchyaninvestigationintotheantecedentsandconsequences,informalhierarchy,NA,NA
"Ireta, The: a model of political and spatial organization of P'urépecha cities",iretatheamodelofpoliticalandspatialorganizationofpurpechacities,theiretaamodelofpoliticalandspatialorganizationofpurpechacities,NA,NA
"“Lives there who loves his pain?”: Empathy, Creativity, and the Physician's Obligation",livestherewholoveshispainempathycreativityandthephysiciansobligation,livestherewholoveshispainsufferingandsubjectivityinearlymodernengland,NA,NA
Memories of youth and interviewing young people: Reflections on young people’s understanding of drug use,memoriesofyouthandinterviewingyoungpeoplereflectionsonyoungpeoplesunderstandingofdruguse,memoriesofyouthandinterviewingyoungpeoplereflectionsonyoungpeoplesunderstandingsofdruguse,NA,NA
Neural basis of social status hierarchy across species,neuralbasisofsocialstatushierarchyacrossspecies,,NA,NA
“No Longer I”: The Apophatic Anthropology of Dionysius the Areopagite,nolongeritheapophaticanthropologyofdionysiustheareopagite,,NA,NA
No Sense of Place: The Impact of Electronic Media on Social Behavior,nosenseofplacetheimpactofelectronicmediaonsocialbehavior,,NA,NA
Offshore Dollar Creation and the Emergence of the Post-2008 International Monetary System,offshoredollarcreationandtheemergenceofthepostinternationalmonetarysystem,offshoredollarcreationandtheemergenceofthepostinternationalmonetarysystemeurodollarsshadowmoneyandce,NA,NA
On the Nature of Caste in India A Review Symposium on Louis Dumont's Homo Hierarchicus : 3 The Brahmannical View of Caste,onthenatureofcasteinindiaareviewsymposiumonlouisdumontshomohierarchicusthebrahmannicalviewofcaste,onthenatureofcasteinindiaareviewsymposiumonlouisdumontshomohierarchicusatheoryofpurehierarchy,NA,NA
"Organisational structure, communication and group ethics",organisationalstructurecommunicationandgroupethics,centrederefernciaeneconomiaanaltica,NA,NA
Productivity and Organization in Portuguese Firms,productivityandorganizationinportuguesefirms,lorenzocaliendolucadavidopromollagiordanomion,NA,NA
"Psychosocial, socio-cultural, and environmental influences on mental health help-seeking among African-American men",psychosocialsocioculturalandenvironmentalinfluencesonmentalhealthhelpseekingamongafricanamericanmen,,NA,NA
Review of Hierarchies in Action: Cui Bono?,reviewofhierarchiesinactioncuibono,hierarchiesinactioncuibono,NA,NA
"Review of Homo Hierarchicus, essai sur le systeme des castes",reviewofhomohierarchicusessaisurlesystemedescastes,homohierarchicusessaisurlesystemedescastes,NA,NA
"Review of Origins, Ancestry and Alliance: Explorations in Austronesian Ethnography. Vol. 3",reviewoforiginsancestryandallianceexplorationsinaustronesianethnographyvol,originsancestryandallianceexplorationsinaustronesianethnographyvol,NA,NA
Review of Social Stratification,reviewofsocialstratification,socialstratification,NA,NA
"Review of The Fall of the House of Dixie: The Civil War and the Social Revolution That Transformed the South, LevineBruce",reviewofthefallofthehouseofdixiethecivilwarandthesocialrevolutionthattransformedthesouthlevinebruce,thefallofthehouseofdixiethecivilwarandthesocialrevolutionthattransformedthesouth,NA,NA
Social Group Work,socialgroupwork,socialgroupworkbuildingaprofessionalcollectiveofhospitalsocialworkers,NA,NA
Systemic accident analysis: Examining the gap between research and practice,systemicaccidentanalysisexaminingthegapbetweenresearchandpractice,,NA,NA
The Chaco Connection: Evaluating Bonito-Style Architecture in Outlier Communities,thechacoconnectionevaluatingbonitostylearchitectureinoutliercommunities,,NA,NA
The development of energy policy and the adoption of renewable electricity in Germany and Australia–A political economy perspective,thedevelopmentofenergypolicyandtheadoptionofrenewableelectricityingermanyandaustraliaapoliticalecono,thedevelopmentofenergypolicyandtheadoptionofrenewableelectricityingermanyandaustralia,NA,NA
"The Divisive Power of Humour: Comedy, Taste and Symbolic Boundaries",thedivisivepowerofhumourcomedytasteandsymbolicboundaries,,NA,NA
The effect of personality on bureaucrats' behavior in the case of South Korea /,theeffectofpersonalityonbureaucratsbehaviorinthecaseofsouthkorea,,NA,NA
"The Free Market and Gender Relations: Political and Economic Power, Impunity, and the Murders of Women",thefreemarketandgenderrelationspoliticalandeconomicpowerimpunityandthemurdersofwomen,thefreemarketandgenderrelationspoliticaleconomicpowerimpunityandthemurdersofwomen,NA,NA
"THE GLASS CEILING HYPOTHESIS: A Comparative Study of the United States, Sweden, and Australia",theglassceilinghypothesisacomparativestudyoftheunitedstatesswedenandaustralia,theglassceilinghypothesisacomparativestudyofunitedstatesswedenandaustralia,NA,NA
"The Impact of Inputs, Employee Characteristics, Organizational Arrangements, and Activities on the Environmental Effectiveness of State Air Pollution Control Agencies",theimpactofinputsemployeecharacteristicsorganizationalarrangementsandactivitiesontheenvironmentaleff,theimpactofinputsemployeecharacteristicsorganizationalarrangementsandactivitiesontheenvironmental,NA,NA
The Issue of Hierarchy in Japanese Social Structure,theissueofhierarchyinjapanesesocialstructure,theissueofhierarchyinjapanesesocialstructureclassicjapaneseanthropologyspecialissuecontemplatingruth,NA,NA
The Paris Declaration - A Paradigm Shift At All Levels? : Swedish Non-Governmental Organisations&apos; Roles in Development Aid Policy,theparisdeclarationaparadigmshiftatalllevelsswedishnongovernmentalorganisationsaposrolesindevelopmen,theparisdeclarationaparadigmshiftatalllevelsswedishnongovernmentalorganisationsrolesindevelopmentaid,NA,NA
The Politics of Positivism and Dialectics: Marx's Theory of Ideology and the Historical Context for Gramsci's Immanent Critique of Bukharin's Praxis During the Period of New Economic Policy in the Soviet Union.,thepoliticsofpositivismanddialecticsmarxstheoryofideologyandthehistoricalcontextforgramscisimmanentc,thepoliticsofpositivismanddialecticsmarxstheoryofideologyandthehistoricalcontextforgramscisimmanent,NA,NA
The role of public bureaucracy in policy implementation: The case of the Brunei national housing scheme,theroleofpublicbureaucracyinpolicyimplementationthecaseofthebruneinationalhousingscheme,instituteofsocialstudies,NA,NA
Toward a greener globe : In the pursuit of culturally embedded pathways to sustainable consumption,towardagreenerglobeinthepursuitofculturallyembeddedpathwaystosustainableconsumption,towardagreenerglobe,NA,NA
"Unpacking the Black Box: A Formative Research Approach to the Development of Theory-Driven, Evidence-Based, and Culturally Safe Text Messages in Mobile Health Interventions",unpackingtheblackboxaformativeresearchapproachtothedevelopmentoftheorydrivenevidencebasedandcultural,unpackingtheblackboxtheunderlyingmechanicsofculturallyintelligentbehavior,NA,NA
Videoconferencing as strategic management tool in new organisational forms : the case of TELP,videoconferencingasstrategicmanagementtoolinneworganisationalformsthecaseoftelp,videoconferencingasstrategicmanagementtoolinneworganisationalformsthecaseofp,NA,NA
